toolName,famille,discipline,discipline_categorie,total_respondants_discipline,count,fractionOfUse,percentageOfUse
TextEdit,balisage et texte brut,Ingénierie & technologie,STEM,3784,1.8333333333333333,NaN,NaN
TextEdit,balisage et texte brut,Médecine,Médecine,3803,0,NaN,NaN
TextEdit,balisage et texte brut,Arts et Lettres,SHS,3154,3.6666666666666665,NaN,NaN
TextEdit,balisage et texte brut,Sciences physiques,STEM,2598,0.3333333333333333,NaN,NaN
TextEdit,balisage et texte brut,Droit,SHS,505,0,NaN,NaN
xfig,autre,Sciences sociales et économie,SHS,6353,0,NaN,NaN
xfig,autre,Sciences de la vie,STEM,5162,0,NaN,NaN
xfig,autre,Ingénierie & technologie,STEM,3784,0,NaN,NaN
xfig,autre,Médecine,Médecine,3803,0,NaN,NaN
xfig,autre,Arts et Lettres,SHS,3154,0,NaN,NaN
xfig,autre,Sciences physiques,STEM,2598,2,NaN,NaN
xfig,autre,Droit,SHS,505,0,NaN,NaN
RevMan (Review Manager),autre,Sciences sociales et économie,SHS,6353,0,NaN,NaN
RevMan (Review Manager),autre,Sciences de la vie,STEM,5162,0,NaN,NaN
RevMan (Review Manager),autre,Ingénierie & technologie,STEM,3784,0,NaN,NaN
RevMan (Review Manager),autre,Médecine,Médecine,3803,5.5,NaN,NaN
RevMan (Review Manager),autre,Arts et Lettres,SHS,3154,0.5,NaN,NaN
RevMan (Review Manager),autre,Sciences physiques,STEM,2598,0,NaN,NaN
RevMan (Review Manager),autre,Droit,SHS,505,0,NaN,NaN
institutional shared drive,autre,Sciences sociales et économie,SHS,6353,0,NaN,NaN
institutional shared drive,autre,Sciences de la vie,STEM,5162,0,NaN,NaN
institutional shared drive,autre,Ingénierie & technologie,STEM,3784,0,NaN,NaN
institutional shared drive,autre,Médecine,Médecine,3803,0,NaN,NaN
institutional shared drive,autre,Arts et Lettres,SHS,3154,1,NaN,NaN
institutional shared drive,autre,Sciences physiques,STEM,2598,0,NaN,NaN
institutional shared drive,autre,Droit,SHS,505,0,NaN,NaN
Manuscripts (manuscripts.app),autres bureautique (wysiwyg),Sciences sociales et économie,SHS,6353,1.3333333333333333,NaN,NaN
Manuscripts (manuscripts.app),autres bureautique (wysiwyg),Sciences de la vie,STEM,5162,4.5,NaN,NaN
Manuscripts (manuscripts.app),autres bureautique (wysiwyg),Ingénierie & technologie,STEM,3784,1.8333333333333333,NaN,NaN
Manuscripts (manuscripts.app),autres bureautique (wysiwyg),Médecine,Médecine,3803,1.3333333333333333,NaN,NaN
Manuscripts (manuscripts.app),autres bureautique (wysiwyg),Arts et Lettres,SHS,3154,0,NaN,NaN
Manuscripts (manuscripts.app),autres bureautique (wysiwyg),Sciences physiques,STEM,2598,0,NaN,NaN
Manuscripts (manuscripts.app),autres bureautique (wysiwyg),Droit,SHS,505,0,NaN,NaN
Notepad++,balisage et texte brut,Sciences sociales et économie,SHS,6353,2,NaN,NaN
Notepad++,balisage et texte brut,Sciences de la vie,STEM,5162,0,NaN,NaN
Notepad++,balisage et texte brut,Ingénierie & technologie,STEM,3784,2.5,NaN,NaN
Notepad++,balisage et texte brut,Médecine,Médecine,3803,2.5,NaN,NaN
Notepad++,balisage et texte brut,Arts et Lettres,SHS,3154,1.5,NaN,NaN
Notepad++,balisage et texte brut,Sciences physiques,STEM,2598,0,NaN,NaN
Notepad++,balisage et texte brut,Droit,SHS,505,0.5,NaN,NaN
RefWorks,autre,Sciences sociales et économie,SHS,6353,2.6666666666666665,NaN,NaN
RefWorks,autre,Sciences de la vie,STEM,5162,2.6666666666666665,NaN,NaN
RefWorks,autre,Ingénierie & technologie,STEM,3784,0,NaN,NaN
RefWorks,autre,Médecine,Médecine,3803,3.666666666666667,NaN,NaN
RefWorks,autre,Arts et Lettres,SHS,3154,1,NaN,NaN
RefWorks,autre,Sciences physiques,STEM,2598,1,NaN,NaN
RefWorks,autre,Droit,SHS,505,0,NaN,NaN
