id,role,last affiliation country,first publication year,tools,disciplines
01d126b6c08d403f214dbf1d34807fdb,Other,Australia,2001-2005,Dropbox | ownCloud | MS Word | Google Drive/Docs | LaTeX,Ingénierie & technologie
01d4b2ff0d13e7626111c4b8e64881f2,Postdoc,Belgium,2006-2010,MS Word | Google Drive/Docs | LaTeX,Sciences physiques
01d8816397781719515391d75c7e265e,Professor / Associate professor / Assistant professor,Ukraine,2011-2016,MS Word | Google Drive/Docs,Médecine
01d9855b4305081960588106b02381fb,Other,France,2006-2010,MS Word | Google Drive/Docs,Médecine
01dc22036394f8201b8641d8fbb2d7b3,Professor / Associate professor / Assistant professor,Greece,before 1991,MS Word,Ingénierie & technologie
01dd6e702b9cdc58e22e84bd42a6efc5,Professor / Associate professor / Assistant professor,Netherlands,1991-2000,MS Word,Sciences de la vie
01e4b41e79ff60a0eee6d0b8e2224cd4,Postdoc,Australia,2011-2016,MS Word,Médecine
01e5d0c57a079c89981550412d2a1a89,Professor / Associate professor / Assistant professor,Nigeria,2001-2005,MS Word,Sciences sociales et économie
01e71c2f45363373aeaa968d40e7ec15,Professor / Associate professor / Assistant professor,France,before 1991,MS Word,Sciences de la vie
01e98b44fef691fa1615e65dd713b0af,Professor / Associate professor / Assistant professor,Netherlands,2006-2010,MS Word,Sciences sociales et économie
01ea6a833efe307d20a6a86fd545c308,Professor / Associate professor / Assistant professor,United Kingdom,before 1991,MS Word | Google Drive/Docs,Médecine
01f0f57def00b47bffb21d14bc29fe1f,Postdoc,China,2006-2010,MS Word,Sciences physiques
01f543a1f53459fdfcc48fdee672c24b,Professor / Associate professor / Assistant professor,Japan,1991-2000,MS Word,Ingénierie & technologie
01fac14aba80ff8ea90d833c235eafdf,Librarian,United Kingdom,2011-2016,MS Word | LaTeX,Sciences physiques | Ingénierie & technologie | Sciences de la vie | Médecine | Sciences sociales et économie | Droit | Arts et Lettres
01fbbb424608d149d261ce7bf1dc3b73,Professor / Associate professor / Assistant professor,Poland,before 1991,MS Word,Ingénierie & technologie
01fd660e884922304f3f2f968d793b3d,Postdoc,United States,2011-2016,MS Word | Google Drive/Docs,Sciences physiques | Sciences sociales et économie
01fe9a736b2ae74c4ccc7bb3970cdaf4,Professor / Associate professor / Assistant professor,Lebanon,2006-2010,MS Word,Médecine
0200b97fc5ce0188b1c4c304a6646c3b,Professor / Associate professor / Assistant professor,Argentina,,MS Word | Google Drive/Docs,Médecine
0203e32c885950ed70cd99568cef3cd6,PhD student,Switzerland,2011-2016,LaTeX,Sciences physiques
